timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
,,6453,5326.000,walking,354,44388,,2,,,
,,,,,,44448,93,,,,
,,,,,,44508,91,,,,
,,,,,,44568,93,,,,
,,,,,,44628,83,,,,
2023-09-01T14:51:00.000Z,,,,sedentary,,,,6,,,
,,,,,,44688,93,,,,
,,,,,,44748,91,,,,
,,,,,,44808,89,,,,
,,,,,,44868,86,,,,
,,6504,5345.000,walking,355,44868,,2,,,
,,,,,,44928,85,,,,
,,,,,,44988,83,,,,
,,,,,,45048,85,,,,
2023-09-01T14:58:00.000Z,,,,sedentary,,,,5,,,
,,6513,5347.000,walking,355,45108,,0,,,
,,,,,,45168,83,,,,
,,,,,,45228,73,,,,
2023-09-01T15:01:00.000Z,,,,sedentary,,,,5,,,
,,,,,,45267,,,,,5.417
,,,,,,45288,77,,,,
,,,,,,45348,81,,,,
,,6736,5456.000,walking,362,45348,,2,,,
,,,,,,45408,88,,,,
,,,,,,45468,89,,,,
,,6860,5520.000,walking,367,45468,,2,,,
,,,,,,45528,80,,,,
,,,,,,45588,77,,,,
,,,,,,45648,78,,,,
,,,,,,45708,77,,,,
,,,,,,45768,76,,,,
,,,,,,45828,70,,,,
,,,,,,45888,74,,,,
,,,,,,45948,81,,,,
2023-09-01T15:13:00.000Z,,,,sedentary,,,,4,,,
,,,,,,46008,73,,,,
,,,,,,46068,91,,,,
,,6910,5535.000,walking,367,46068,,3,,,
,,,,,,46128,87,,,,
,,,,,,46188,88,,,,
,,,,,,46197,,,,,2.522
,,6968,5555.000,walking,368,46248,,2,,,
,,,,,,46308,75,,,,
,,,,,,46368,73,,,,
,,,,,,46428,69,,,,
,,,,,,46488,66,,,,
,,,,,,46548,64,,,,
,,,,,,46608,66,,,,
,,,,,,46668,76,,,,
,,,,,,46728,78,,,,
,,,,,,46788,77,,,,
,,,,,,46848,71,,,,
,,,,,,47028,82,,,,
2023-09-01T15:31:00.000Z,,,,sedentary,,,,4,,,
,,,,,,47088,73,,,,
,,6988,5562.000,walking,368,47088,,2,,,
,,,,,,47148,75,,,,
,,,,,,47208,77,,,,
2023-09-01T15:34:00.000Z,,,,sedentary,,,,5,,,
,,,,,,47268,74,,,,
,,,,,,47328,70,,,,
,,7008,5568.000,walking,368,47328,,3,,,
,,,,,,47388,66,,,,
2023-09-01T15:37:00.000Z,,,,sedentary,,,,1,,,
,,,,,,47448,60,,,,
2023-09-01T15:38:00.000Z,,,,sedentary,,,,0,,,
2023-09-01T15:39:00.000Z,,,,sedentary,,,,3,,,
,,,,,,47568,63,,,,
