timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,moderate activity minutes
,,,,,,63040,72,,,,,
,,,,,,63100,73,,,,,
,,,,,,63160,75,,,,,
,,,,,,63220,76,,,,,
,,,,,,63280,70,,,,,
,,,,,,63340,68,,,,,
,,,,,,63400,74,,,,,
,,,,,,63460,70,,,,,
,,,,,,63520,72,,,,,
,,,,,,63580,74,,,,,
,,,,,,63640,76,,,,,
,,,,,,63760,69,,,,,
,,,,,,63820,67,,,,,
,,,,,,63880,68,,,,,
,,,,,,63940,73,,,,,
,,,,,,64000,69,,,,,
,,,,,,64060,66,,,,,
,,,,,,64120,69,,,,,
,,,,,,64180,70,,,,,
,,,,,,64240,72,,,,,
,,,,,,64360,70,,,,,
,,,,,,64480,67,,,,,
,,,,,,64540,71,,,,,
,,,,,,64600,73,,,,,
2022-07-25T07:38:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,64660,74,,,,,
2022-07-25T07:39:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,64720,75,,,,,
,,,,,,64840,73,,,,,
,,,,,,64900,72,,,,,
,,,,,,64960,71,,,,,
2022-07-25T07:44:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,65009,,,,2.608,,
,,,,,,65020,87,,,,,
,,2299,2183.000,walking,130,65020,,2,,,,
,,,,,,65080,128,,,,,
,,,,,,65140,117,,,,,
,,0,402.000,generic,25,65140,,6,,,,
,,,,,,65200,103,,,,,
,,,,,,65260,106,,,,,
,,2337,2303.000,walking,138,65260,,0,,,,
,,0,462.000,generic,28,65320,,5,,,,
,,,,,,65380,103,,,,,
,,2350,2363.000,walking,141,65380,,0,,,,
,,,,,,65440,99,,,,,
,,,,,,65500,87,,,,,
,,,,,,24,77,,,,,
,,,,,,84,72,,,,,
,,,,,,144,71,,,,,
,,,,,,204,69,,,,,
2022-07-25T07:57:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,264,67,,,,,
2022-07-25T07:58:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,324,69,,,,,
,,,,,,384,68,,,,,
,,,,,,444,66,,,,,
