stress level value,stress level time
-2,2024-05-09T07:40:00.000Z
-2,2024-05-09T07:41:00.000Z
-2,2024-05-09T07:42:00.000Z
-2,2024-05-09T07:43:00.000Z
-2,2024-05-09T07:44:00.000Z
-2,2024-05-09T07:45:00.000Z
-2,2024-05-09T07:46:00.000Z
-2,2024-05-09T07:47:00.000Z
-2,2024-05-09T07:48:00.000Z
-2,2024-05-09T07:49:00.000Z
-2,2024-05-09T07:50:00.000Z
-2,2024-05-09T07:51:00.000Z
-2,2024-05-09T07:52:00.000Z
-2,2024-05-09T07:53:00.000Z
-2,2024-05-09T07:54:00.000Z
-2,2024-05-09T07:55:00.000Z
-2,2024-05-09T07:56:00.000Z
-2,2024-05-09T07:57:00.000Z
-2,2024-05-09T07:58:00.000Z
-2,2024-05-09T07:59:00.000Z
-2,2024-05-09T08:00:00.000Z
90,2024-05-09T08:01:00.000Z
77,2024-05-09T08:02:00.000Z
67,2024-05-09T08:03:00.000Z
78,2024-05-09T08:04:00.000Z
60,2024-05-09T08:05:00.000Z
66,2024-05-09T08:06:00.000Z
72,2024-05-09T08:07:00.000Z
81,2024-05-09T08:08:00.000Z
67,2024-05-09T08:09:00.000Z
79,2024-05-09T08:10:00.000Z
84,2024-05-09T08:11:00.000Z
74,2024-05-09T08:12:00.000Z
-2,2024-05-09T08:13:00.000Z
-1,2024-05-09T08:14:00.000Z
50,2024-05-09T08:15:00.000Z
35,2024-05-09T08:16:00.000Z
30,2024-05-09T08:17:00.000Z
25,2024-05-09T08:18:00.000Z
26,2024-05-09T08:19:00.000Z
31,2024-05-09T08:20:00.000Z
-2,2024-05-09T08:21:00.000Z
-2,2024-05-09T08:22:00.000Z
-1,2024-05-09T08:23:00.000Z
-1,2024-05-09T08:24:00.000Z
-1,2024-05-09T08:25:00.000Z
33,2024-05-09T08:26:00.000Z
30,2024-05-09T08:27:00.000Z
33,2024-05-09T08:28:00.000Z
50,2024-05-09T08:29:00.000Z
35,2024-05-09T08:30:00.000Z
36,2024-05-09T08:31:00.000Z
32,2024-05-09T08:32:00.000Z
-2,2024-05-09T08:33:00.000Z
-2,2024-05-09T08:34:00.000Z
-2,2024-05-09T08:35:00.000Z
-2,2024-05-09T08:36:00.000Z
-2,2024-05-09T08:37:00.000Z
-2,2024-05-09T08:38:00.000Z
-1,2024-05-09T08:39:00.000Z
-2,2024-05-09T08:40:00.000Z
-1,2024-05-09T08:41:00.000Z
48,2024-05-09T08:42:00.000Z
44,2024-05-09T08:43:00.000Z
42,2024-05-09T08:44:00.000Z
65,2024-05-09T08:45:00.000Z
-2,2024-05-09T08:46:00.000Z
-1,2024-05-09T08:47:00.000Z
-2,2024-05-09T08:48:00.000Z
-1,2024-05-09T08:49:00.000Z
73,2024-05-09T08:50:00.000Z
69,2024-05-09T08:51:00.000Z
65,2024-05-09T08:52:00.000Z
85,2024-05-09T08:53:00.000Z
-2,2024-05-09T08:54:00.000Z
-2,2024-05-09T08:55:00.000Z
-1,2024-05-09T08:56:00.000Z
-1,2024-05-09T08:57:00.000Z
-2,2024-05-09T08:58:00.000Z
-2,2024-05-09T08:59:00.000Z
-1,2024-05-09T09:00:00.000Z
-2,2024-05-09T09:01:00.000Z
75,2024-05-09T09:02:00.000Z
69,2024-05-09T09:03:00.000Z
51,2024-05-09T09:04:00.000Z
70,2024-05-09T09:05:00.000Z
-2,2024-05-09T09:06:00.000Z
-1,2024-05-09T09:07:00.000Z
-1,2024-05-09T09:08:00.000Z
-2,2024-05-09T09:09:00.000Z
-1,2024-05-09T09:10:00.000Z
-1,2024-05-09T09:11:00.000Z
-1,2024-05-09T09:12:00.000Z
70,2024-05-09T09:13:00.000Z
-2,2024-05-09T09:14:00.000Z
67,2024-05-09T09:15:00.000Z
-2,2024-05-09T09:16:00.000Z
-2,2024-05-09T09:17:00.000Z
-2,2024-05-09T09:18:00.000Z
-1,2024-05-09T09:19:00.000Z
-2,2024-05-09T09:20:00.000Z
-2,2024-05-09T09:21:00.000Z
-2,2024-05-09T09:22:00.000Z
73,2024-05-09T09:23:00.000Z
50,2024-05-09T09:24:00.000Z
39,2024-05-09T09:25:00.000Z
37,2024-05-09T09:26:00.000Z
32,2024-05-09T09:27:00.000Z
18,2024-05-09T09:28:00.000Z
24,2024-05-09T09:29:00.000Z
27,2024-05-09T09:30:00.000Z
20,2024-05-09T09:31:00.000Z
37,2024-05-09T09:32:00.000Z
25,2024-05-09T09:33:00.000Z
28,2024-05-09T09:34:00.000Z
48,2024-05-09T09:35:00.000Z
34,2024-05-09T09:36:00.000Z
35,2024-05-09T09:37:00.000Z
27,2024-05-09T09:38:00.000Z
25,2024-05-09T09:39:00.000Z
32,2024-05-09T09:40:00.000Z
43,2024-05-09T09:41:00.000Z
32,2024-05-09T09:42:00.000Z
24,2024-05-09T09:43:00.000Z
36,2024-05-09T09:44:00.000Z
25,2024-05-09T09:45:00.000Z
27,2024-05-09T09:46:00.000Z
42,2024-05-09T09:47:00.000Z
58,2024-05-09T09:48:00.000Z
33,2024-05-09T09:49:00.000Z
64,2024-05-09T09:50:00.000Z
60,2024-05-09T09:51:00.000Z
35,2024-05-09T09:52:00.000Z
31,2024-05-09T09:53:00.000Z
36,2024-05-09T09:54:00.000Z
55,2024-05-09T09:55:00.000Z
58,2024-05-09T09:56:00.000Z
58,2024-05-09T09:57:00.000Z
48,2024-05-09T09:58:00.000Z
30,2024-05-09T09:59:00.000Z
25,2024-05-09T10:00:00.000Z
42,2024-05-09T10:01:00.000Z
33,2024-05-09T10:02:00.000Z
